34, 2, 'S12', 'B';
21, 4, 'S39', '';
161, 2, 'F51', '';
171, 4, 'F20', 'D';
150, 4, 'F20', 'D';
180, 3, 'F58', 'A';
187, 4, 'F20', 'C';
209, 2, 'F51', '';
221, 3, 'F62', '';
199, 2, 'F51', '';
194, 2, 'F51', '';
204, 2, 'F51', '';
221, 2, 'F51', '';
199, 5, 'F52', 'B';
194, 5, 'F52', 'B';
180, 2, 'F51', '';
187, 3, 'F58', 'B';
15, 1, 'F50', '';
161, 1, 'F19', '';
150, 1, 'F19', '';
171, 1, 'F19', '';
209, 1, 'F7', '';
204, 5, 'F52', 'A';
194, 1, 'F7', '';
199, 1, 'F7', '';
221, 1, 'F7', '';
161, 5, 'F69', '';
171, 5, 'F69', '';
150, 5, 'F69', '';
180, 1, 'F64', '';
187, 2, 'F51', '';
37, 2, 'F51', '';
54, 3, 'F58', 'B';
285, 2, 'F82', '';
286, 1, 'F105', '';
287, 1, 'F106', '';
288, 6, 'F93', '';
289, 1, 'F169', '';
290, 3, 'F100', '';
291, 7, 'F143', '';
293, 3, 'S61', '';
294, 1, 'F95', '';
295, 2, 'F126', '';
296, 3, 'DISF17', '';
297, 1, 'F107', '';
298, 1, 'IC25', '';
299, 1, 'M10', '';
300, 4, 'EX', '';
301, 1, 'IC26', '';
302, 3, 'F53', '';
303, 1, 'F90', '';
304, 1, 'F105', '';
305, 1, 'F106', '';
306, 1, 'F105', '';
307, 1, 'F106', '';
130, 1, 'F33', '';
131, 4, 'S75', '';
132, 6, 'F93', '';
133, 3, 'F63', '';
134, 3, 'TM', '';
135, 1, 'F94', '';
136, 1, 'F95', '';
139, 3, 'F98', '';
138, 2, 'F129', '';
139, 2, 'F96', '';
260, 1, 'F130', '';
261, 1, 'F131', '';
262, 2, 'F129', '';
263, 1, 'F132', '';
265, 3, 'S62', '';
266, 1, 'F133', '';
267, 8, 'UNK', '';
308, 1, 'F109', '';
309, 1, 'F110', '';
310, 1, 'M11', '';
311, 3, 'S6', '';
312, 1, 'EX', '';
313, 2, 'F112', '';
314, 4, 'TM', '';
315, 2, 'F30', '';
316, 1, 'F114', '';
317, 1, 'F115', '';
318, 1, 'F90', '';
319, 1, 'F105', '';
320, 1, 'F106', '';
321, 4, 'S52', '';
322, 1, 'F116', '';
323, 1, 'F117', '';
324, 3, 'S83', '';
325, 7, 'F146', '';
326, 1, 'F114', '';
327, 1, 'F113', '';
328, 1, 'F115', '';
329, 1, 'F118', '';
330, 1, 'F119', '';
332, 3, 'LNK', '';
333, 1, 'M11', '';
334, 2, 'TM', '';
335, 1, 'F120', '';
336, 1, 'F121', '';
337, 3, 'DISF10', '';
337, 2, 'F2', '';
338, 5, 'LNK', '';
338, 4, 'F23', '';
341, 1, 'M5', '';
342, 2, 'S12', 'B';
343, 4, 'S42', '';
344, 1, 'F50', '';
344, 2, 'F51', '';
344, 3, 'F58', 'B';
271, 1, 'UNK', '';
531, 19, 'TM', '';
528, 2, 'PS', '';
509, 17, 'F76', '';
528, 17, 'F76', '';
12, 4, 'S29', '';
59, 4, 'S34', '';
27, 1, 'PS', '';
34, 1, 'PS', '';
43, 1, 'PS', '';
51, 1, 'PS', '';
342, 3, 'TM', '';
127, 4, 'S31', '';
121, 1, 'PS', '';
113, 1, 'PS', '';
103, 1, 'PS', '';
79, 1, 'PS', '';
72, 1, 'PS', '';
617, 4, 'S109', '';
87, 1, 'PS', '';
6, 1, 'PS', '';
21, 1, 'PS', '';
357, 5, 'EX', '';
147, 4, 'S13', '';
169, 1, 'PS', '';
518, 18, 'F77', '';
342, 1, 'PS', '';
28, 3, 'S80', 'B';
14, 2, 'TM', '';
60, 2, 'TM', '';
53, 3, 'S80', 'A';
45, 1, 'EX', '';
36, 3, 'S80', 'B';
114, 3, 'S78', 'B';
104, 3, 'S78', 'B';
128, 1, 'EX', '';
122, 2, 'TM', '';
122, 1, 'EX', '';
343, 3, 'S65', '';
22, 3, 'S82', '';
88, 1, 'EX', '';
7, 3, 'S79', '';
343, 2, 'TM', '';
60, 1, 'EX', '';
68, 2, 'F2', '';
68, 1, 'F1', '';
9, 3, 'DISF1', '';
55, 3, 'DISF7', '';
47, 3, 'DISF8', '';
62, 3, 'DISF5', '';
1, 2, 'F2', '';
337, 1, 'F1', '';
376, 1, 'UNK', '';
312, 2, 'TM', '';
332, 2, 'TM', '';
278, 4, 'TM', '';
278, 3, 'LNK', '';
278, 2, 'S50', '';
278, 1, 'PS', '';
314, 3, 'LNK', '';
314, 2, 'S50', '';
518, 17, 'F76', '';
518, 16, 'F255', '';
518, 15, 'HD', '';
282, 3, 'S76', '';
280, 3, 'S74', '';
276, 3, 'S74', '';
321, 5, 'S51', '';
131, 3, 'S51', '';
276, 2, 'TM', '';
280, 4, 'S52', '';
321, 3, 'S77', '';
174, 2, 'M8', '';
183, 1, 'EX', '';
175, 4, 'S71', '';
184, 4, 'S72', '';
300, 3, 'TM', '';
249, 4, 'S54', '';
258, 3, 'TM', '';
293, 2, 'S56', '';
265, 4, 'S57', '';
324, 2, 'S57', '';
324, 1, 'S64', '';
265, 2, 'S56', '';
293, 4, 'S57', '';
293, 1, 'S60', '';
293, 5, 'S58', '';
265, 1, 'S59', '';
265, 5, 'S63', '';
311, 2, 'TM', '';
311, 1, 'EX', '';
285, 1, 'F170', '';
284, 4, 'F103', '';
272, 3, 'F84', '';
281, 2, 'F82', '';
273, 3, 'F84', '';
274, 2, 'F82', '';
273, 4, 'F172', '';
272, 2, 'F82', '';
274, 3, 'F84', '';
277, 4, 'F56', '';
133, 2, 'F56', '';
133, 1, 'F42', '';
303, 2, 'F89', '';
288, 5, 'F56', '';
132, 5, 'F56', '';
318, 2, 'F89', '';
277, 2, 'F86', '';
303, 3, 'F86', '';
132, 4, 'F147', '';
318, 3, 'F86', '';
288, 4, 'F147', '';
277, 5, 'F92', '';
132, 3, 'F86', '';
303, 4, 'F147', '';
132, 2, 'F89', '';
132, 1, 'F91', '';
288, 3, 'F86', '';
318, 4, 'F147', '';
277, 1, 'F87', '';
139, 1, 'F97', '';
137, 3, 'F125', '';
290, 2, 'F96', '';
290, 1, 'F99', '';
284, 3, 'UNK', '';
283, 3, 'F103', '';
283, 2, 'F101', '';
283, 1, 'F102', '';
284, 2, 'F101', '';
284, 1, 'F104', '';
292, 2, 'F136', '';
264, 2, 'F136', '';
302, 2, 'F51', '';
302, 1, 'F67', '';
333, 2, 'M12', '';
310, 2, 'M13', '';
331, 1, 'F112', '';
313, 1, 'F111', '';
340, 2, 'DISF20', '';
389, 14, 'F75', '';
342, 4, 'S67', '';
518, 14, 'F75', '';
522, 17, 'F76', '';
268, 17, 'F76', '';
268, 16, 'F255', '';
268, 15, 'HD', '';
359, 3, 'F61', '';
359, 2, 'F51', '';
366, 1, 'F50', '';
366, 2, 'F51', '';
366, 3, 'F58', '';
366, 4, 'F20', '';
374, 5, 'F49', '';
374, 4, 'F20', '';
518, 13, 'F79', '';
530, 19, 'F78', '';
529, 19, 'F78', '';
345, 1, 'S98', '';
345, 2, 'PS', '';
345, 3, 'S46', '';
137, 2, 'F124', '';
137, 1, 'UNK', '';
295, 1, 'F124', '';
138, 1, 'F128', '';
262, 1, 'F127', '';
264, 1, 'F134', '';
292, 1, 'F135', '';
267, 7, 'F143', '';
291, 8, 'UNK', '';
346, 1, 'M5', '';
347, 2, 'S12', 'B';
355, 1, 'F15', '';
348, 1, 'EX', '';
348, 2, 'TM', '';
348, 3, 'S8', '';
354, 1, 'F8', '';
269, 36, 'TM', '';
353, 5, 'F49', '';
353, 4, 'F20', '';
353, 3, 'F58', 'B';
353, 2, 'F51', '';
353, 1, 'F50', '';
586, 1, 'F113', '';
327, 2, 'F30', '';
432, 2, 'F30', '';
362, 1, 'F17', '';
618, 3, 'S110', '';
618, 4, 'S42', '';
114, 4, 'S42', '';
53, 4, 'S42', '';
66, 3, 'S81', '';
66, 4, 'S42', '';
7, 4, 'S42', '';
104, 4, 'S42', '';
510, 1, 'F235', '';
269, 35, 'F230', '';
269, 34, 'F229', '';
269, 33, 'TM', '';
269, 32, 'F227', '';
269, 31, 'HD', '';
269, 30, 'IHD', '';
269, 29, 'HD', '';
269, 28, 'IHD', '';
269, 27, 'HD', '';
269, 26, 'IHD', '';
269, 25, 'HD', '';
269, 24, 'IHD', '';
269, 23, 'HD', '';
269, 22, 'F231', '';
269, 21, 'F226', '';
269, 20, 'HD', '';
269, 19, 'EX', '';
269, 18, 'F219', '';
269, 17, 'F216', '';
269, 16, 'F225', '';
269, 15, 'TM', '';
269, 14, 'EX', '';
269, 13, 'EX', '';
269, 12, 'TM', '';
269, 11, 'ITM', '';
269, 10, 'TM', '';
269, 9, 'EX', '';
269, 8, 'EX', '';
269, 7, 'TM', '';
269, 6, 'S108', '';
269, 5, 'TM', '';
269, 4, 'S103', '';
269, 3, 'TM', '';
269, 2, 'S101', '';
269, 1, 'S102', '';
388, 1, 'F1', '';
388, 2, 'F2', '';
388, 3, 'DISF3', '';
365, 3, 'S8', '';
365, 2, 'TM', '';
364, 4, 'S30', '';
390, 6, 'F27', '';
369, 1, 'F46', '';
392, 1, 'F45', '';
393, 1, 'F17', '';
368, 2, 'DISF15', '';
347, 1, 'PS', '';
373, 2, 'TM', '';
520, 15, 'F274', '';
356, 1, 'M4', '';
369, 2, 'DISF15', '';
514, 19, 'TM', '';
394, 1, 'F48', '';
395, 1, 'F140', '';
396, 2, 'M8', '';
396, 1, 'EX', '';
397, 3, 'HD', '';
397, 4, 'S71', '';
397, 5, 'DISS2', '';
397, 6, 'LNK', '';
398, 3, 'HD', '';
399, 1, 'DISF29', '';
400, 1, 'M1', '';
401, 5, 'F70', '';
401, 4, 'F20', '';
401, 3, 'F58', 'A';
401, 2, 'F51', '';
401, 1, 'F64', '';
402, 1, 'F87', '';
402, 2, 'F86', '';
402, 3, 'F88', '';
402, 4, 'F56', '';
402, 5, 'F92', '';
403, 3, 'S76', '';
404, 1, 'F120', '';
405, 1, 'F121', '';
406, 1, 'F11', '';
407, 1, 'DISF23', '';
408, 1, 'M7', '';
409, 1, 'PS', '';
409, 2, 'S12', 'A';
410, 1, 'F239', '';
411, 1, 'F34', '';
412, 1, 'TM', '';
533, 17, 'F190', 'B';
414, 4, 'F20', 'D';
415, 1, 'F155', '';
416, 13, 'S120', '';
417, 3, 'F152', '';
418, 3, 'F150', '';
419, 1, 'UNK', '';
420, 1, 'F153', '';
421, 3, 'F150', '';
422, 3, 'TM', '';
423, 1, 'F154', '';
424, 2, 'S5', '';
425, 1, 'F154', '';
426, 1, 'F154', '';
427, 1, 'PS', '';
428, 1, 'F153', '';
429, 1, 'F149', '';
430, 1, 'F114', '';
431, 1, 'F115', '';
432, 1, 'F113', '';
605, 1, 'S21', '';
433, 1, 'PS', '';
433, 2, 'S50', '';
434, 1, 'F112', '';
332, 1, 'EX', '';
435, 1, 'EX', '';
436, 3, 'S22', '';
437, 1, 'M11', '';
437, 2, 'M12', '';
438, 1, 'F118', '';
439, 1, 'F119', '';
435, 2, 'TM', '';
332, 4, 'S48', '';
325, 6, 'F144', '';
267, 9, 'F144', '';
291, 6, 'UNK', '';
325, 5, 'F143', '';
291, 1, 'F138', '';
267, 6, 'UNK', '';
325, 4, 'F139', '';
267, 10, 'F145', '';
325, 3, 'F142', '';
325, 2, 'F141', '';
325, 1, 'UNK', '';
267, 4, 'UNK', '';
267, 5, 'F139', '';
291, 2, 'UNK', '';
291, 3, 'F141', '';
291, 4, 'UNK', '';
291, 5, 'F139', '';
267, 3, 'F141', '';
267, 2, 'UNK', '';
267, 1, 'F137', '';
291, 9, 'F144', '';
291, 10, 'F145', '';
303, 5, 'F56', '';
303, 6, 'F93', '';
318, 5, 'F56', '';
318, 6, 'F93', '';
288, 2, 'F89', '';
288, 1, 'F91', '';
417, 2, 'F148', '';
417, 1, 'F151', '';
418, 2, 'F148', '';
429, 2, 'F148', '';
418, 1, 'F149', '';
421, 2, 'F148', '';
421, 1, 'F149', '';
429, 3, 'F150', '';
414, 1, 'F19', '';
414, 2, 'F51', '';
414, 3, 'F68', '';
414, 5, 'F69', '';
187, 1, 'F64', '';
96, 3, 'F51', '';
23, 5, 'F49', '';
54, 2, 'F51', '';
54, 1, 'F50', '';
96, 2, 'LNK', '';
95, 3, 'S8', '';
357, 4, 'TM', '';
358, 1, 'IC21', '';
359, 1, 'F3', '';
532, 15, 'F274', '';
611, 2, 'F30', '';
574, 5, 'F21', '';
129, 5, 'F12', '';
81, 1, 'F50', '';
89, 2, 'F51', '';
89, 1, 'F50', '';
115, 1, 'F50', '';
61, 4, 'F20', 'A';
46, 3, 'F58', 'B';
46, 2, 'F51', '';
46, 1, 'F50', '';
67, 3, 'F58', 'B';
8, 4, 'F20', 'A';
123, 1, 'F50', '';
105, 1, 'F50', '';
37, 1, 'F50', '';
344, 4, 'F20', 'A';
8, 5, 'F49', '';
96, 1, 'F50', '';
361, 7, 'F232', '';
371, 1, 'M5', '';
370, 1, 'F183', '';
360, 3, 'DISF3', '';
22, 4, 'S42', '';
67, 2, 'F51', '';
67, 1, 'F50', '';
177, 3, 'HD', '';
184, 5, 'DISS3', '';
176, 4, 'S71', '';
175, 5, 'DISS2', '';
398, 2, 'S7', '';
397, 7, 'S43', '';
131, 2, 'S52', '';
282, 1, 'S53', '';
403, 2, 'S51', '';
403, 1, 'S53', '';
280, 1, 'UNK', '';
321, 6, 'S75', '';
276, 5, 'S51', '';
280, 5, 'S51', '';
321, 2, 'TM', '';
276, 6, 'S75', '';
131, 1, 'S77', '';
276, 1, 'UNK', '';
280, 6, 'S75', '';
321, 1, 'UNK', '';
339, 3, 'LNK', '';
373, 4, 'S42', '';
392, 2, 'DISF13', '';
360, 2, 'F2', '';
36, 4, 'S42', '';
268, 14, 'F75', '';
343, 1, 'EX', '';
296, 2, 'F9', '';
296, 1, 'F165', '';
245, 2, 'F9', '';
251, 2, 'F9', '';
251, 1, 'F163', '';
274, 4, 'F171', '';
281, 3, 'F85', '';
272, 1, 'UNK', '';
273, 1, 'UNK', '';
237, 5, 'EX', '';
200, 2, 'F5', '';
200, 1, 'F181', '';
195, 2, 'F5', '';
205, 2, 'F5', '';
205, 1, 'F181', '';
190, 2, 'F5', '';
190, 1, 'F180', 'A';
210, 2, 'F5', '';
210, 1, 'F180', 'B';
195, 3, 'F179', 'A';
514, 18, 'F168', '';
413, 2, 'S69', '';
530, 18, 'F77', '';
529, 7, 'LNK', '';
523, 18, 'F77', '';
375, 22, 'F193', '';
377, 2, 'F40', '';
465, 1, 'F208', '';
442, 3, 'S90', '';
443, 2, 'LNK', '';
444, 1, 'UNK', '';
445, 1, 'LNK', '';
446, 3, 'ITM', '';
447, 1, 'UNK', '';
